,y_true,y_pred,score
97,3,3,[3.2954881e-04 9.1641734e-05 4.7119553e-04 9.9910766e-01]
98,3,3,[6.6981430e-04 4.6878721e-04 6.5140277e-02 9.3372107e-01]
99,2,2,[3.1998658e-05 1.0642132e-05 9.9773538e-01 2.2220244e-03]
100,3,3,[7.7673256e-05 7.4444897e-03 3.2879725e-01 6.6368061e-01]
101,3,3,[1.1082354e-03 2.5908253e-04 4.1033742e-03 9.9452931e-01]
102,3,3,[1.3681620e-03 1.1962069e-04 4.1834135e-02 9.5667809e-01]
103,2,2,[2.5760804e-05 1.8485453e-05 9.9931335e-01 6.4238516e-04]
104,3,3,[1.2796707e-04 4.6031098e-04 9.0327888e-04 9.9850839e-01]
105,3,3,[1.09791785e-04 1.02240236e-04 1.71834428e-04 9.99616146e-01]
106,3,3,[2.3272920e-04 1.6163415e-04 3.6453383e-04 9.9924111e-01]
107,3,3,[1.6441554e-04 1.8407960e-04 1.3367768e-04 9.9951780e-01]
108,3,1,[4.5828732e-05 6.2882394e-01 1.0706345e-03 3.7005955e-01]
109,3,3,[2.7190472e-04 2.9523842e-04 2.4466234e-04 9.9918813e-01]
110,3,3,[3.3149755e-04 1.4639301e-04 8.0089085e-04 9.9872118e-01]
111,1,2,[3.5195331e-05 3.7845123e-01 6.1853153e-01 2.9820837e-03]
112,3,2,[7.0397573e-04 1.2557542e-01 8.2022631e-01 5.3494208e-02]
113,3,3,[1.21394914e-04 9.94387883e-05 2.05484859e-04 9.99573648e-01]
114,3,3,[5.6948098e-05 2.9479875e-04 6.2107778e-04 9.9902725e-01]
115,3,3,[7.8547710e-05 1.2443050e-04 1.3000642e-04 9.9966705e-01]
116,3,3,[4.6866239e-04 3.6666001e-04 4.0410933e-04 9.9876058e-01]
117,3,3,[1.8522613e-04 3.1164865e-04 3.9626611e-04 9.9910682e-01]
118,3,3,[1.4081303e-04 1.4612719e-04 2.5784582e-04 9.9945527e-01]
119,3,1,[7.4434216e-04 9.9183887e-01 3.8120146e-03 3.6047366e-03]
120,3,3,[7.7982833e-05 7.0841445e-05 2.7661846e-04 9.9957448e-01]
121,3,3,[1.4506116e-04 9.2598180e-05 1.2471814e-04 9.9963760e-01]
122,3,3,[4.2788440e-04 9.6088377e-05 9.8067930e-04 9.9849534e-01]
123,3,3,[1.1117496e-04 1.2018128e-04 1.2040453e-04 9.9964821e-01]
124,1,3,[1.3999442e-04 6.4760491e-02 4.8960949e-04 9.3460989e-01]
125,3,3,[1.3479991e-03 3.1345923e-04 3.3513928e-04 9.9800342e-01]
126,3,3,[1.7692086e-04 6.5463908e-05 3.3668283e-04 9.9942100e-01]
127,1,1,[3.9043247e-05 9.9297160e-01 4.1594510e-03 2.8298793e-03]
128,3,3,[4.6769015e-05 1.5215731e-04 3.1733548e-04 9.9948370e-01]
129,3,3,[9.2175818e-05 1.3232912e-04 1.5198658e-04 9.9962354e-01]
130,3,3,[1.79363502e-04 1.12355054e-04 3.12070857e-04 9.99396205e-01]
131,3,3,[2.0290489e-04 9.7720585e-05 1.3407216e-04 9.9956530e-01]
132,1,1,[1.3718408e-05 9.5043731e-01 4.7202001e-04 4.9076971e-02]
133,3,3,[8.5678235e-05 6.7694493e-02 3.5875544e-04 9.3186098e-01]
134,3,3,[5.3932541e-04 8.4185456e-05 7.7177258e-04 9.9860471e-01]
135,1,1,[5.6602862e-06 9.9474663e-01 3.2712212e-03 1.9764812e-03]
136,3,3,[1.3475942e-04 1.7987697e-04 2.1235659e-04 9.9947304e-01]
137,3,3,[7.2011717e-05 1.7314957e-04 1.5214206e-04 9.9960274e-01]
138,3,3,[1.2794553e-04 2.7477214e-04 1.7377225e-04 9.9942362e-01]
139,3,3,[1.3152372e-04 1.7531271e-04 1.0711194e-04 9.9958605e-01]
140,1,3,[1.33677720e-04 1.75176468e-03 1.13786715e-04 9.98000801e-01]
141,3,3,[7.0443447e-04 2.1386120e-04 1.3530186e-04 9.9894637e-01]
142,3,3,[1.2050545e-04 2.5566146e-04 5.6972302e-04 9.9905401e-01]
143,1,1,[5.0785780e-05 9.9454993e-01 3.6633563e-05 5.3626853e-03]
144,3,3,[3.7715516e-05 1.0617774e-04 6.5191468e-04 9.9920422e-01]
145,3,3,[6.1083119e-05 9.3765470e-05 4.1269677e-04 9.9943238e-01]
146,3,3,[1.00275545e-04 1.31062043e-04 3.30690207e-04 9.99437988e-01]
147,3,3,[8.3277067e-05 8.5362728e-05 1.7278365e-04 9.9965858e-01]
148,3,3,[5.2960106e-04 8.7491338e-05 8.1486057e-04 9.9856806e-01]
149,3,3,[2.67345778e-04 1.20039476e-04 3.79889068e-04 9.99232650e-01]
150,3,3,[1.1914951e-04 1.4025741e-04 2.8304418e-03 9.9691015e-01]
151,1,3,[1.93624815e-04 3.11291162e-02 1.12311654e-01 8.56365621e-01]
152,3,2,[7.1568134e-06 7.8586665e-05 9.9164069e-01 8.2734739e-03]
153,3,3,[1.2682028e-04 1.1077232e-04 2.0798671e-04 9.9955434e-01]
154,3,2,[3.3925251e-05 1.1730288e-04 9.8350024e-01 1.6348574e-02]
155,3,3,[1.2088963e-04 1.5129980e-04 1.2713714e-04 9.9960071e-01]
156,3,3,[2.2857382e-04 8.2296378e-05 1.3828927e-03 9.9830616e-01]
157,3,3,[4.3333031e-04 1.8172101e-04 2.7603278e-04 9.9910885e-01]
158,2,3,[2.7200798e-04 1.5486403e-04 2.7526185e-04 9.9929786e-01]
159,2,2,[9.6665335e-06 1.3026202e-05 9.9917620e-01 8.0110680e-04]
160,3,3,[1.1377779e-04 9.9993726e-05 2.1021371e-04 9.9957603e-01]
161,3,3,[1.7869688e-04 1.3582828e-04 1.8180528e-04 9.9950361e-01]
162,2,3,[3.00783571e-03 1.15583905e-04 8.38170643e-04 9.96038437e-01]
163,3,3,[1.5294288e-04 1.7770930e-04 1.2206050e-04 9.9954730e-01]
164,3,3,[4.2190275e-04 1.3175373e-03 1.6303647e-03 9.9663013e-01]
165,3,3,[1.2994182e-03 1.8780926e-04 4.3336005e-04 9.9807942e-01]
166,3,3,[1.2170650e-04 1.2853053e-04 6.8656225e-03 9.9288416e-01]
167,2,1,[5.4126297e-04 9.6899217e-01 3.4642301e-03 2.7002323e-02]
168,3,3,[1.9343331e-04 1.2777177e-04 7.5177319e-04 9.9892706e-01]
169,3,2,[9.1805588e-05 2.9782166e-03 9.9020737e-01 6.7226393e-03]
170,3,3,[1.7052074e-04 1.4921388e-04 3.1300279e-04 9.9936730e-01]
171,3,3,[2.2781375e-04 1.0558849e-04 2.9696763e-04 9.9936968e-01]
172,3,3,[2.0189247e-04 1.6682940e-04 8.3414273e-04 9.9879718e-01]
173,3,3,[1.3793817e-04 1.4166803e-04 4.3802516e-04 9.9928242e-01]
174,3,3,[4.7459255e-04 1.0391289e-04 6.4773945e-04 9.9877375e-01]
175,3,1,[3.7317590e-05 5.5406195e-01 2.5856546e-01 1.8733531e-01]
176,3,3,[4.8363514e-04 1.2901863e-04 2.8519088e-01 7.1419650e-01]
177,3,3,[1.8440346e-04 6.5424698e-05 2.9985636e-04 9.9945027e-01]
178,3,3,[2.3805084e-04 8.7275861e-05 1.5032984e-03 9.9817145e-01]
179,3,3,[1.5003989e-04 9.2625654e-05 1.7983558e-04 9.9957758e-01]
180,3,3,[1.3234748e-03 1.5620838e-04 5.7933520e-04 9.9794096e-01]
181,3,3,[2.4828978e-03 2.8567814e-04 3.3385592e-04 9.9689758e-01]
182,3,3,[3.40570667e-04 1.13226015e-04 2.84162496e-04 9.99261916e-01]
183,1,2,[2.0089412e-04 2.7120472e-05 9.9539006e-01 4.3818615e-03]
184,3,3,[7.4905460e-04 9.1378763e-04 4.3533007e-03 9.9398381e-01]
185,3,3,[1.2005027e-04 6.5172446e-04 1.1727400e-04 9.9911088e-01]
186,3,3,[9.0417190e-04 2.6812614e-04 2.7294838e-04 9.9855477e-01]
187,3,3,[1.5136266e-04 2.9119794e-04 9.7270531e-05 9.9946016e-01]
188,1,1,[3.0886251e-05 9.1918969e-01 6.1568356e-04 8.0163702e-02]
189,3,1,[1.7421173e-03 8.9044321e-01 5.2384177e-04 1.0729080e-01]
190,3,3,[3.3124851e-04 2.3666401e-04 6.3076406e-04 9.9880123e-01]
191,1,1,[1.4061666e-04 9.9709487e-01 1.9395838e-03 8.2491012e-04]
192,3,3,[1.19757628e-04 1.20305485e-04 2.15595166e-04 9.99544322e-01]
193,3,3,[1.1533696e-04 1.4008791e-04 1.6302886e-04 9.9958152e-01]
194,3,3,[1.3495637e-04 2.3412492e-04 1.5179500e-04 9.9947912e-01]
195,3,3,[1.2166077e-04 1.3249081e-04 1.3509172e-04 9.9961072e-01]
196,3,3,[1.0606478e-04 2.1469150e-02 2.3519137e-04 9.7818965e-01]
197,3,3,[2.0938467e-04 3.8295338e-04 2.5143131e-04 9.9915624e-01]
198,3,3,[3.7457785e-04 2.3794876e-04 3.5918960e-03 9.9579561e-01]
199,3,1,[9.5306677e-06 9.9368793e-01 8.9965004e-04 5.4029808e-03]
200,3,3,[2.9800175e-04 1.4987984e-04 4.8268685e-04 9.9906951e-01]
201,3,3,[2.3819803e-04 1.4632403e-04 3.9619472e-04 9.9921930e-01]
202,3,3,[1.7725740e-04 1.8606700e-04 2.7396364e-04 9.9936265e-01]
203,3,3,[2.0215966e-04 1.7586598e-04 2.5046803e-04 9.9937159e-01]
204,3,3,[7.1125332e-04 2.4034199e-04 1.0350797e-03 9.9801338e-01]
205,3,3,[8.7336707e-04 1.6068312e-04 6.2585057e-04 9.9834013e-01]
206,3,3,[1.5806541e-04 1.3353798e-04 6.8558083e-04 9.9902284e-01]
207,3,3,[0.00110469 0.01154041 0.01443072 0.97292423]
208,2,3,[2.1728613e-04 2.7499478e-03 4.3321472e-01 5.6381804e-01]
209,3,3,[1.2315948e-04 1.1560023e-04 2.5244549e-04 9.9950886e-01]
210,3,3,[7.5122203e-05 1.6533892e-04 1.0235562e-03 9.9873596e-01]
211,3,3,[9.5102478e-05 1.2312422e-04 1.6346456e-04 9.9961829e-01]
212,3,3,[6.365903e-05 5.879180e-02 7.096989e-02 8.701747e-01]
213,3,3,[0.00235442 0.0021288  0.00240294 0.99311393]
214,3,3,[9.8950451e-04 1.0525061e-04 3.4323259e-04 9.9856204e-01]
215,2,2,[1.9382873e-05 7.3766643e-03 9.9183685e-01 7.6709455e-04]
216,3,3,[1.4485048e-04 8.0878264e-05 2.2808660e-04 9.9954611e-01]
217,3,3,[1.9077255e-04 8.0928236e-05 1.4141270e-04 9.9958688e-01]
218,3,3,[5.7474663e-04 1.3588075e-04 2.0501205e-04 9.9908435e-01]
219,3,3,[1.76867339e-04 1.07324995e-04 9.57786324e-05 9.99619961e-01]
220,3,3,[8.2855877e-05 1.3241470e-02 4.3600876e-04 9.8623973e-01]
221,3,3,[4.7702502e-04 4.1169647e-04 1.7985805e-04 9.9893147e-01]
222,3,3,[2.5744995e-04 8.5191488e-05 3.2439397e-04 9.9933296e-01]
223,1,1,[3.6600709e-06 9.9494332e-01 1.0723842e-04 4.9457918e-03]
224,3,3,[2.8579216e-04 2.7592908e-04 2.4434665e-02 9.7500360e-01]
225,3,3,[1.7762145e-04 9.6403273e-05 1.5438156e-04 9.9957162e-01]
226,3,3,[3.1553633e-03 2.6632776e-04 1.1174217e-03 9.9546093e-01]
227,3,3,[1.12735164e-04 2.28003148e-04 9.95869632e-05 9.99559700e-01]
228,3,3,[1.6821397e-04 1.4621884e-03 1.8581966e-03 9.9651140e-01]
229,3,3,[1.3608460e-03 5.4354162e-04 1.1129720e-03 9.9698263e-01]
230,3,3,[1.6632192e-04 1.1857224e-04 5.5768308e-03 9.9413824e-01]
231,2,2,[1.2760647e-04 1.0015893e-01 8.9601040e-01 3.7030303e-03]
232,3,3,[1.0247625e-04 1.3143675e-04 1.5672999e-04 9.9960941e-01]
233,3,3,[2.4044247e-04 7.9665690e-05 1.3163770e-04 9.9954814e-01]
234,3,3,[3.7315337e-04 1.4301170e-04 3.4486354e-04 9.9913895e-01]
235,3,3,[2.2092731e-04 1.2553018e-04 9.2107359e-05 9.9956149e-01]
236,3,3,[6.4657776e-05 3.8775387e-01 4.5041626e-04 6.1173105e-01]
237,1,1,[2.5994892e-04 5.7208520e-01 3.1543762e-04 4.2733946e-01]
238,3,3,[2.1909340e-04 6.9237554e-05 4.3667079e-04 9.9927503e-01]
239,1,1,[8.0461205e-06 9.9897099e-01 1.2309625e-04 8.9795509e-04]
240,3,3,[1.12759823e-04 1.08339795e-04 1.24510349e-04 9.99654412e-01]
241,3,3,[1.53566361e-04 1.02932077e-04 1.06713305e-04 9.99636769e-01]
242,3,3,[2.7364830e-04 1.4374105e-04 1.4440302e-04 9.9943823e-01]
243,3,3,[1.9669719e-04 1.3328860e-04 7.9144287e-05 9.9959081e-01]
244,3,3,[2.3974903e-04 4.2118240e-04 4.1747192e-04 9.9892163e-01]
245,3,3,[4.7739295e-04 1.4921394e-01 2.7723479e-04 8.5003150e-01]
246,3,3,[1.7180391e-04 9.1280403e-05 3.2970074e-04 9.9940729e-01]
247,3,1,[1.0912258e-05 9.9196166e-01 7.7976911e-05 7.9494584e-03]
248,3,3,[1.8372954e-04 3.5828870e-04 2.4430787e-03 9.9701488e-01]
249,3,3,[9.4644369e-05 5.2116392e-04 1.2150457e-04 9.9926263e-01]
250,3,3,[1.3006046e-04 2.5496510e-04 2.2939737e-04 9.9938560e-01]
251,3,3,[9.3932482e-05 4.2326681e-04 8.0825645e-05 9.9940193e-01]
252,3,1,[5.2001878e-06 9.9306327e-01 2.2643986e-03 4.6671657e-03]
253,3,3,[3.9565351e-04 2.9696210e-03 1.2887898e-04 9.9650586e-01]
254,3,3,[2.0798769e-04 1.3327155e-04 4.0178944e-04 9.9925691e-01]
255,3,1,[7.8191124e-06 9.8831123e-01 9.3477461e-03 2.3332152e-03]
256,3,3,[1.11019261e-04 1.13981885e-04 5.02862269e-04 9.99272168e-01]
257,3,3,[1.4778890e-04 2.3146122e-04 2.3727577e-04 9.9938345e-01]
258,3,3,[8.1286608e-04 1.6543821e-04 3.0715196e-04 9.9871457e-01]
259,3,3,[1.3060517e-04 1.9728843e-04 1.5739843e-04 9.9951470e-01]
260,3,3,[8.2774197e-05 1.5425144e-03 1.3505535e-03 9.9702412e-01]
261,0,0,[9.9904042e-01 5.1070776e-05 1.1843893e-05 8.9671504e-04]
262,3,3,[1.7503061e-04 1.0673898e-04 3.9393909e-04 9.9932432e-01]
263,0,0,[9.9988687e-01 2.4630966e-05 4.8695351e-06 8.3636616e-05]
264,2,2,[5.4742435e-05 8.1618479e-04 9.1303343e-01 8.6095676e-02]
265,3,3,[3.8691526e-04 1.0326634e-04 9.8137266e-04 9.9852836e-01]
266,3,3,[3.8472511e-04 2.9306428e-03 4.9648398e-01 5.0020069e-01]
267,3,3,[1.9323593e-04 1.7518955e-04 3.2856059e-04 9.9930298e-01]
268,3,2,[9.1521633e-06 5.6143625e-05 9.9944538e-01 4.8924604e-04]
269,3,3,[3.8671556e-03 7.6569716e-04 3.4829552e-04 9.9501884e-01]
270,3,3,[5.5738133e-03 1.4989065e-03 1.4147747e-04 9.9278581e-01]
271,2,2,[8.9395653e-06 4.1617572e-05 9.9974960e-01 1.9988001e-04]
272,3,3,[3.5742920e-05 3.6658875e-03 1.9895772e-03 9.9430877e-01]
273,3,3,[3.4925666e-05 3.8625984e-04 6.1353209e-04 9.9896526e-01]
274,3,3,[3.7347170e-05 6.4766937e-04 2.7966927e-04 9.9903536e-01]
275,3,3,[6.5019216e-05 2.8296738e-04 1.4927851e-04 9.9950266e-01]
276,1,3,[2.0171019e-05 1.8369829e-02 1.9826762e-04 9.8141176e-01]
277,3,3,[8.8320885e-05 2.2161368e-04 1.2122264e-04 9.9956876e-01]
278,3,3,[7.1990020e-05 2.0680291e-04 7.6739647e-04 9.9895370e-01]
279,1,1,[7.3946876e-06 9.8480922e-01 1.3001581e-03 1.3883201e-02]
280,3,3,[7.1294708e-05 2.0706996e-04 1.8643343e-04 9.9953520e-01]
281,3,3,[1.0002848e-04 1.4309384e-04 1.3551005e-04 9.9962127e-01]
282,3,3,[3.8206039e-04 2.3300055e-04 1.8875817e-04 9.9919623e-01]
283,3,3,[2.0555839e-04 9.5071853e-05 2.2561858e-04 9.9947375e-01]
284,3,3,[7.9406309e-05 2.6816251e-02 2.2744313e-04 9.7287691e-01]
285,3,3,[3.0003441e-04 3.1242176e-04 2.0259028e-04 9.9918491e-01]
286,3,3,[1.4413157e-04 4.7821467e-04 2.2262677e-03 9.9715143e-01]
287,2,1,[5.9297308e-06 9.9820030e-01 9.2323702e-05 1.7013502e-03]
288,3,2,[4.6147117e-05 1.9612721e-04 9.8752415e-01 1.2233560e-02]
289,3,3,[1.9736112e-04 1.0365108e-04 3.0521746e-04 9.9939382e-01]
290,3,3,[8.2990248e-04 2.5750010e-04 2.5727527e-02 9.7318506e-01]
291,3,3,[8.5708481e-05 2.5356468e-04 1.9428802e-04 9.9946648e-01]
292,3,3,[2.0566203e-04 9.9509023e-04 4.9614731e-02 9.4918454e-01]
293,3,3,[3.0379507e-03 1.4185344e-04 1.3108067e-03 9.9550939e-01]
294,3,3,[2.7268340e-03 1.3408886e-04 1.4465447e-03 9.9569255e-01]
295,1,2,[1.7073502e-05 8.9001704e-05 9.9965262e-01 2.4127550e-04]
296,3,3,[6.9775808e-05 1.7935938e-04 1.4864502e-03 9.9826449e-01]
297,3,3,[1.2946581e-04 3.2660228e-04 3.7093693e-04 9.9917299e-01]
298,3,3,[1.2597590e-04 2.1015704e-04 4.0003590e-04 9.9926382e-01]
299,3,3,[2.3135265e-04 1.5638556e-04 2.0388975e-04 9.9940836e-01]
300,1,1,[2.9233741e-04 5.5048275e-01 1.0192554e-01 3.4729937e-01]
301,3,3,[2.7147244e-04 1.2130524e-03 1.3943466e-03 9.9712116e-01]
302,3,3,[6.9882261e-04 9.8623037e-05 2.3179012e-03 9.9688464e-01]
303,1,1,[8.8291490e-06 9.7036731e-01 2.5070447e-02 4.5534358e-03]
304,3,3,[2.0797183e-04 4.0930882e-04 1.4142664e-03 9.9796838e-01]
305,3,3,[7.7385761e-05 1.8870267e-04 1.3583762e-04 9.9959809e-01]
306,3,3,[1.8522385e-04 2.2408435e-04 2.9891264e-04 9.9929178e-01]
307,3,3,[5.8232632e-05 3.0480628e-04 8.5411564e-05 9.9955148e-01]
308,2,1,[8.592521e-06 9.902726e-01 1.979360e-04 9.520838e-03]
309,3,3,[4.7354129e-04 3.1362092e-01 4.7051039e-04 6.8543500e-01]
310,3,3,[2.0570381e-04 7.1554299e-05 5.6402902e-03 9.9408239e-01]
311,2,1,[4.4090671e-06 9.9601376e-01 2.5948123e-03 1.3870696e-03]
312,2,2,[5.2179490e-05 1.2164952e-04 9.9831223e-01 1.5140388e-03]
313,3,3,[1.2606737e-04 1.0925871e-04 2.1677669e-04 9.9954790e-01]
314,3,3,[1.4792618e-04 2.4302560e-04 1.7525081e-03 9.9785656e-01]
315,3,3,[9.6328862e-05 1.2002619e-04 1.9075934e-04 9.9959296e-01]
316,3,3,[5.3684390e-04 2.2113281e-04 4.6485447e-04 9.9877721e-01]
317,3,3,[4.0080160e-04 3.8743948e-04 2.2651511e-04 9.9898523e-01]
318,3,3,[2.3495060e-04 1.6703144e-04 2.2720153e-04 9.9937087e-01]
